,GOV,Level of government,TAX,Tax revenue,VAR,Indicator,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
18315,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GRC,Greece,2020,2020,USD,US Dollar,9,Billions,,,73.285,,
18341,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,HUN,Hungary,2016,2016,USD,US Dollar,9,Billions,,,50.207,,
18342,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,HUN,Hungary,2017,2017,USD,US Dollar,9,Billions,,,54.113,,
18343,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,HUN,Hungary,2018,2018,USD,US Dollar,9,Billions,,,59.069,,
18344,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,HUN,Hungary,2019,2019,USD,US Dollar,9,Billions,,,59.633,,
18345,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,HUN,Hungary,2020,2020,USD,US Dollar,9,Billions,,,55.309,,
18385,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISL,Iceland,2016,2016,USD,US Dollar,9,Billions,,,10.454,,
18386,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISL,Iceland,2017,2017,USD,US Dollar,9,Billions,,,9.183,,
18387,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISL,Iceland,2018,2018,USD,US Dollar,9,Billions,,,9.577,,
18388,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISL,Iceland,2019,2019,USD,US Dollar,9,Billions,,,8.659,,
18389,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISL,Iceland,2020,2020,USD,US Dollar,9,Billions,,,7.84,,
18441,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,IRL,Ireland,2016,2016,USD,US Dollar,9,Billions,,,70.334,,
18442,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,IRL,Ireland,2017,2017,USD,US Dollar,9,Billions,,,75.587,,
18443,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,IRL,Ireland,2018,2018,USD,US Dollar,9,Billions,,,86.017,,
18444,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,IRL,Ireland,2019,2019,USD,US Dollar,9,Billions,,,87.411,,
18445,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,IRL,Ireland,2020,2020,USD,US Dollar,9,Billions,,,85.848,,
18483,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ITA,Italy,2016,2016,USD,US Dollar,9,Billions,,,792.149,,
18484,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ITA,Italy,2017,2017,USD,US Dollar,9,Billions,,,820.465,,
18485,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ITA,Italy,2018,2018,USD,US Dollar,9,Billions,,,872.385,,
18486,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ITA,Italy,2019,2019,USD,US Dollar,9,Billions,,,850.321,,
18487,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ITA,Italy,2020,2020,USD,US Dollar,9,Billions,,,807.635,,
18539,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,JPN,Japan,2016,2016,USD,US Dollar,9,Billions,,,1504.546,,
18540,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,JPN,Japan,2017,2017,USD,US Dollar,9,Billions,,,1537.453,,
18541,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,JPN,Japan,2018,2018,USD,US Dollar,9,Billions,,,1594.73,,
18542,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,JPN,Japan,2019,2019,USD,US Dollar,9,Billions,,,1616.775,,
18587,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,KOR,Korea,2016,2016,USD,US Dollar,9,Billions,,,371.149,,
18588,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,KOR,Korea,2017,2017,USD,US Dollar,9,Billions,,,411.689,,
18589,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,KOR,Korea,2018,2018,USD,US Dollar,9,Billions,,,460.42,,
18590,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,KOR,Korea,2019,2019,USD,US Dollar,9,Billions,,,449.659,,
18591,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,KOR,Korea,2020,2020,USD,US Dollar,9,Billions,,,456.264,,
18629,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,LUX,Luxembourg,2016,2016,USD,US Dollar,9,Billions,,,22.042,,
18630,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,LUX,Luxembourg,2017,2017,USD,US Dollar,9,Billions,,,23.983,,
18631,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,LUX,Luxembourg,2018,2018,USD,US Dollar,9,Billions,,,27.972,,
18632,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,LUX,Luxembourg,2019,2019,USD,US Dollar,9,Billions,,,27.692,,
18633,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,LUX,Luxembourg,2020,2020,USD,US Dollar,9,Billions,,,27.974,,
18670,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,MEX,Mexico,2016,2016,USD,US Dollar,9,Billions,,,179.484,,
18671,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,MEX,Mexico,2017,2017,USD,US Dollar,9,Billions,,,186.897,,
18672,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,MEX,Mexico,2018,2018,USD,US Dollar,9,Billions,,,198.032,,
18673,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,MEX,Mexico,2019,2019,USD,US Dollar,9,Billions,,,207.926,,
18674,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,MEX,Mexico,2020,2020,USD,US Dollar,9,Billions,,,193.75,,
18712,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NLD,Netherlands,2016,2016,USD,US Dollar,9,Billions,,,300.833,,
18713,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NLD,Netherlands,2017,2017,USD,US Dollar,9,Billions,,,322.025,,
18714,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NLD,Netherlands,2018,2018,USD,US Dollar,9,Billions,,,354.407,,
18715,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NLD,Netherlands,2019,2019,USD,US Dollar,9,Billions,,,357.348,,
18716,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NLD,Netherlands,2020,2020,USD,US Dollar,9,Billions,,,361.74,,
18768,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NZL,New Zealand,2016,2016,USD,US Dollar,9,Billions,,,60.885,,
18769,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NZL,New Zealand,2017,2017,USD,US Dollar,9,Billions,,,64.938,,
18770,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NZL,New Zealand,2018,2018,USD,US Dollar,9,Billions,,,67.373,,
18771,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NZL,New Zealand,2019,2019,USD,US Dollar,9,Billions,,,65.239,,
